,Feature,Importance
1,Birth year,0.3331275178549881
41,occupation4,0.01183160838166674
5,country3,0.010381436084363076
0,Gender_encode,0.006115918883668681
24,country22,0.006023568028107855
39,occupation2,0.005743877657894573
87,description3,0.005507002700490133
97,description13,0.005075138274124049
120,description36,0.004931464032632451
10,country8,0.004762147231946953
139,description55,0.004465878217556792
136,description52,0.004400164068395578
9,country7,0.0038824387060453513
88,description4,0.003815347448928516
85,description1,0.0037795099400923047
135,description51,0.0037032753913232765
15,country13,0.0035928280469889923
28,country26,0.0035855893555563506
40,occupation3,0.0034876325297495616
123,description39,0.0034649904436540786
36,country34,0.003443888333991611
145,description61,0.0034111063871261693
165,description81,0.0033274261495239953
150,description66,0.0032614388058090256
102,description18,0.003215546960223113
79,occupation42,0.0032093191000965517
183,description99,0.0031879806082517016
155,description71,0.0031736001392062203
74,occupation37,0.0031704049193358704
86,description2,0.0031685186429956445
125,description41,0.0031636574430451004
35,country33,0.003163612491336903
18,country16,0.003159676612985173
233,description149,0.0031428713191188353
191,description107,0.0031354646583676943
93,description9,0.0031323498007360725
166,description82,0.0031249964264664174
226,description142,0.0031221828996668517
126,description42,0.003108648691956553
193,description109,0.003108512862859072
89,description5,0.0031061460959450034
175,description91,0.003077975102016251
105,description21,0.003077395822297291
107,description23,0.003054112757566789
108,description24,0.003047550872182406
232,description148,0.0030448295225631826
225,description141,0.003043631594558849
209,description125,0.003039947784148172
142,description58,0.003038944482502383
212,description128,0.0030307582673246127
177,description93,0.003026947643551544
230,description146,0.003025624381029611
161,description77,0.0030243600811931666
157,description73,0.003024304814129914
95,description11,0.0030176395175371042
218,description134,0.003007951295750482
228,description144,0.003003017750510659
146,description62,0.003000037805697511
